City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Nanortalik,GL,2023-01-28 22:26:47,60.1432,-45.2371,21.2,67,87,35.3
145,Sitka,US,2023-01-28 22:26:47,57.0531,-135.33,44.49,39,0,4.61
146,Carnarvon,AU,2023-01-28 22:26:47,-24.8667,113.6333,74.77,78,0,17.9
147,Atambua,ID,2023-01-28 22:26:47,-9.1061,124.8925,73.94,88,68,0.54
148,Kachhwa,IN,2023-01-28 22:26:48,25.2167,82.7167,49.57,46,0,0.34
149,Hasaki,JP,2023-01-28 22:26:48,35.7333,140.8333,25.2,51,97,11.32
150,Sur,OM,2023-01-28 22:26:48,22.5667,59.5289,67.66,65,9,17.11
151,Tupik,RU,2023-01-28 22:26:49,54.4253,119.9327,-15.18,100,100,1.7
152,Lompoc,US,2023-01-28 22:26:49,34.6391,-120.4579,66.02,74,0,13.0
153,Rio Gallegos,AR,2023-01-28 22:25:10,-51.6226,-69.2181,77.05,18,0,20.71
154,Cayenne,GF,2023-01-28 22:26:49,4.9333,-52.3333,75.24,94,100,2.3
155,Bintulu,MY,2023-01-28 22:26:50,3.1667,113.0333,73.81,100,20,1.14
156,Vaitape,PF,2023-01-28 22:26:50,-16.5167,-151.75,81.39,73,8,14.32
157,Grass Valley,US,2023-01-28 22:26:03,39.2191,-121.0611,55.78,53,0,4.61
158,Vidim,RU,2023-01-28 22:26:50,56.4088,103.1106,13.26,97,100,3.49
159,Bredasdorp,ZA,2023-01-28 22:26:51,-34.5322,20.0403,62.85,55,100,10.87
160,Karpathos,GR,2023-01-28 22:26:51,35.507,27.2132,55.36,76,8,1.14
161,Lafiagi,NG,2023-01-28 22:26:51,8.8667,5.4167,89.83,36,92,8.32
162,Kilrush,IE,2023-01-28 22:26:52,52.6397,-9.4833,40.75,82,68,6.51
163,Siocon,PH,2023-01-28 22:26:52,7.7061,122.1353,76.64,88,89,7.18
164,Saint-Philippe,RE,2023-01-28 22:26:52,-21.3585,55.7679,78.39,90,99,3.67
165,Leningradskiy,RU,2023-01-28 22:26:52,69.3833,178.4167,3.02,94,100,8.59
166,Limbang,MY,2023-01-28 22:26:53,4.75,115.0,75.31,97,80,1.01
167,Barrow,US,2023-01-28 22:24:44,71.2906,-156.7887,-5.78,77,100,10.36
168,Porto Novo,BJ,2023-01-28 22:26:53,6.4965,2.6036,82.22,83,100,8.84
169,Pevek,RU,2023-01-28 22:26:54,69.7008,170.3133,10.98,84,78,13.06
170,Alyangula,AU,2023-01-28 22:26:54,-13.8483,136.4192,81.41,83,100,8.05
171,Provideniya,RU,2023-01-28 22:26:54,64.3833,-173.3,26.62,98,100,5.48
172,Laksham,BD,2023-01-28 22:26:55,23.2472,91.1425,60.6,53,5,6.35
173,Broken Hill,AU,2023-01-28 22:26:55,-31.95,141.4333,72.68,59,100,13.13
174,Ternate,ID,2023-01-28 22:26:55,0.8,127.4,78.57,78,100,3.91
175,Novyy Urengoy,RU,2023-01-28 22:22:45,66.0833,76.6333,-0.76,96,100,8.08
176,Ponta Do Sol,PT,2023-01-28 22:26:56,32.6667,-17.1,59.0,73,13,7.2
177,Pacific Grove,US,2023-01-28 22:26:56,36.6177,-121.9166,60.55,78,100,8.99
178,Tigil,RU,2023-01-28 22:27:56,57.8,158.6667,-5.03,93,97,0.58
